Elapsed time,ECG,Abdomen_1,Abdomen_2,Abdomen_3,Abdomen_4,Abdomen_5
'0:00.000',-0.041,0.393,-0.29,0.249,-0.192,0.791
'0:00.001',-0.072,0.578,-0.412,0.358,-0.287,1.112
'0:00.002',-0.076,0.679,-0.479,0.415,-0.343,1.279
'0:00.003',-0.09,0.718,-0.504,0.433,-0.37,1.334
'0:00.004',-0.135,0.718,-0.506,0.431,-0.377,1.324
'0:00.005',-0.196,0.702,-0.496,0.418,-0.373,1.287
'0:00.006',-0.243,0.682,-0.482,0.404,-0.366,1.247
'0:00.007',-0.267,0.665,-0.47,0.396,-0.356,1.217
'0:00.008',-0.28,0.653,-0.457,0.393,-0.343,1.2
'0:00.009',-0.294,0.644,-0.447,0.394,-0.331,1.195
'0:00.010',-0.331,0.638,-0.44,0.397,-0.319,1.196
'0:00.011',-0.391,0.633,-0.435,0.4,-0.309,1.201
'0:00.012',-0.439,0.628,-0.43,0.401,-0.302,1.203
'0:00.013',-0.447,0.625,-0.427,0.401,-0.299,1.205
'0:00.014',-0.421,0.622,-0.423,0.399,-0.296,1.202
'0:00.015',-0.377,0.622,-0.42,0.396,-0.295,1.196
'0:00.016',-0.335,0.621,-0.418,0.391,-0.296,1.186
'0:00.017',-0.312,0.619,-0.418,0.384,-0.299,1.172
'0:00.018',-0.317,0.616,-0.421,0.376,-0.304,1.155
'0:00.019',-0.337,0.614,-0.423,0.367,-0.31,1.136
'0:00.020',-0.356,0.611,-0.424,0.358,-0.317,1.115
'0:00.021',-0.362,0.61,-0.425,0.35,-0.324,1.093
'0:00.022',-0.356,0.608,-0.425,0.342,-0.33,1.073
'0:00.023',-0.354,0.606,-0.424,0.336,-0.334,1.056
'0:00.024',-0.359,0.602,-0.422,0.331,-0.337,1.04
'0:00.025',-0.371,0.598,-0.419,0.328,-0.337,1.028
'0:00.026',-0.372,0.595,-0.415,0.328,-0.333,1.02
'0:00.027',-0.373,0.593,-0.408,0.33,-0.327,1.016
'0:00.028',-0.379,0.592,-0.4,0.334,-0.317,1.016
'0:00.029',-0.384,0.592,-0.391,0.339,-0.305,1.021
'0:00.030',-0.385,0.59,-0.383,0.346,-0.292,1.029
'0:00.031',-0.397,0.587,-0.376,0.35,-0.281,1.037
'0:00.032',-0.408,0.583,-0.371,0.353,-0.272,1.044
'0:00.033',-0.409,0.58,-0.367,0.355,-0.264,1.049
'0:00.034',-0.401,0.575,-0.364,0.355,-0.259,1.051
'0:00.035',-0.391,0.571,-0.361,0.354,-0.257,1.049
'0:00.036',-0.388,0.567,-0.361,0.35,-0.257,1.044
'0:00.037',-0.384,0.562,-0.362,0.344,-0.261,1.032
'0:00.038',-0.382,0.559,-0.364,0.335,-0.267,1.017
'0:00.039',-0.387,0.555,-0.367,0.325,-0.275,0.997
'0:00.040',-0.392,0.553,-0.369,0.316,-0.286,0.976
'0:00.041',-0.391,0.552,-0.369,0.307,-0.295,0.953
'0:00.042',-0.394,0.549,-0.369,0.3,-0.302,0.932
'0:00.043',-0.393,0.547,-0.369,0.295,-0.307,0.914
'0:00.044',-0.398,0.542,-0.367,0.29,-0.31,0.9
'0:00.045',-0.407,0.537,-0.366,0.288,-0.309,0.89
'0:00.046',-0.41,0.533,-0.364,0.287,-0.305,0.884
'0:00.047',-0.41,0.531,-0.359,0.289,-0.298,0.882
'0:00.048',-0.409,0.53,-0.352,0.293,-0.287,0.885
'0:00.049',-0.408,0.529,-0.344,0.299,-0.275,0.891
'0:00.050',-0.41,0.526,-0.336,0.305,-0.261,0.9
'0:00.051',-0.418,0.523,-0.329,0.309,-0.249,0.909
'0:00.052',-0.422,0.521,-0.325,0.313,-0.24,0.917
'0:00.053',-0.425,0.517,-0.321,0.314,-0.232,0.923
'0:00.054',-0.426,0.516,-0.316,0.315,-0.228,0.926
'0:00.055',-0.427,0.514,-0.313,0.314,-0.226,0.926
'0:00.056',-0.436,0.514,-0.312,0.31,-0.226,0.919
'0:00.057',-0.436,0.513,-0.312,0.305,-0.229,0.908
'0:00.058',-0.431,0.512,-0.315,0.296,-0.237,0.894
'0:00.059',-0.434,0.51,-0.317,0.288,-0.245,0.873
'0:00.060',-0.439,0.51,-0.32,0.279,-0.253,0.853
'0:00.061',-0.435,0.51,-0.32,0.272,-0.261,0.832
'0:00.062',-0.433,0.511,-0.319,0.266,-0.268,0.812
'0:00.063',-0.432,0.51,-0.318,0.262,-0.272,0.795
'0:00.064',-0.427,0.507,-0.317,0.259,-0.274,0.782
'0:00.065',-0.419,0.502,-0.316,0.256,-0.274,0.773
'0:00.066',-0.414,0.496,-0.312,0.256,-0.27,0.768
'0:00.067',-0.417,0.489,-0.307,0.26,-0.262,0.77
'0:00.068',-0.419,0.482,-0.3,0.264,-0.252,0.775
'0:00.069',-0.414,0.475,-0.294,0.271,-0.239,0.784
'0:00.070',-0.411,0.468,-0.288,0.276,-0.227,0.794
'0:00.071',-0.414,0.459,-0.285,0.279,-0.216,0.804
'0:00.072',-0.413,0.45,-0.282,0.281,-0.207,0.811
'0:00.073',-0.414,0.443,-0.281,0.283,-0.199,0.816
'0:00.074',-0.417,0.438,-0.279,0.283,-0.195,0.819
'0:00.075',-0.416,0.433,-0.277,0.283,-0.191,0.817
'0:00.076',-0.414,0.429,-0.276,0.281,-0.191,0.813
'0:00.077',-0.411,0.425,-0.277,0.276,-0.195,0.805
'0:00.078',-0.408,0.42,-0.28,0.27,-0.2,0.792
'0:00.079',-0.41,0.419,-0.283,0.263,-0.208,0.776
'0:00.080',-0.412,0.418,-0.285,0.254,-0.216,0.756
'0:00.081',-0.409,0.419,-0.286,0.248,-0.224,0.738
'0:00.082',-0.406,0.42,-0.286,0.242,-0.231,0.721
